ID,data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_estrangeiro,confirmados_novos,recuperados,obitos,internados,internados_uci,lab,suspeitos,vigilancia,n_confirmados,cadeias_transmissao,transmissao_importada,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,sintomas_tosse,sintomas_febre,sintomas_dificuldade_respiratoria,sintomas_cefaleia,sintomas_dores_musculares,sintomas_fraqueza_generalizada,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_estrangeiro,recuperados_arsnorte,recuperados_arscentro,recuperados_arslvt,recuperados_arsalentejo,recuperados_arsalgarve,recuperados_acores,recuperados_madeira,recuperados_estrangeiro,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m,confirmados_desconhecidos_m,confirmados_desconhecidos_f,ativos,internados_enfermaria,confirmados_desconhecidos,incidencia_nacional,incidencia_continente,rt_nacional,rt_continente
225,07/10/2020,07/10/2020 00:00,81256,29469,6561,41225,1595,1862,287,257,,944,51037,2040,764,104,,,46023,,,,1630,1833,2463,2221,6882,6162,7029,6273,7264,5965,6582,5198,4171,3869,2871,2590,5382,2671,,,,,,,44371,36885,900,269,811,25,20,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,19,44,60,118,156,246,767,599,1017,1023,,,28179,660,0,,,,
226,08/10/2020,08/10/2020 00:00,82534,30111,6662,41707,1604,1892,291,267,,1278,51517,2050,801,115,,,46182,,,,1661,1878,2519,2277,6987,6276,7141,6371,7379,6069,6675,5281,4234,3930,2899,2623,5428,2706,,,,,,,45020,37514,905,271,814,25,20,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,19,44,60,118,156,247,770,605,1020,1030,,,28967,686,0,,,,
227,09/10/2020,09/10/2020 00:00,83928,30800,6758,42266,1615,1923,294,272,,1394,52164,2062,811,125,,,47721,,,,1689,1908,2581,2345,7127,6411,7255,6469,7528,6187,6791,5361,4298,3996,2931,2653,5464,2733,,,,,,,45762,38166,908,272,822,25,20,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,19,44,61,118,156,247,779,607,1030,1032,,,29702,686,0,,,,
228,10/10/2020,10/10/2020 00:00,85574,31720,6913,42812,1623,1931,296,279,,1646,52803,2067,831,122,,,47602,,,,1720,1935,2677,2439,7292,6562,7388,6609,7674,6291,6925,5458,4381,4071,2987,2695,5508,2777,,,,,,,46641,38933,910,272,824,25,21,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,19,45,61,118,157,247,781,608,1033,1034,,,30704,709,0,,,,
229,11/10/2020,11/10/2020 00:00,86664,32345,6995,43141,1630,1974,295,284,,1090,53187,2080,843,124,,,48413,,,,1735,1951,2725,2488,7412,6666,7475,6693,7772,6343,7021,5515,4430,4113,3027,2731,5576,2805,,,,,,,47263,39401,916,272,830,26,21,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,20,45,61,118,157,248,786,614,1039,1041,,,31397,719,0,,,,
230,12/10/2020,12/10/2020 00:00,87913,32947,7082,43646,1645,2001,298,294,,1249,53498,2094,877,128,,,48844,,,,1764,1986,2784,2543,7552,6802,7590,6776,7877,6420,7098,5583,4485,4158,3065,2771,5636,2837,,,,,,,47941,39972,924,272,836,26,21,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,20,45,61,118,158,252,792,617,1046,1048,,,32321,749,0,,,,
231,13/10/2020,13/10/2020 00:00,89121,33660,7176,43986,1677,2025,300,297,,1208,54047,2110,916,132,,,50291,,,,1790,2013,2818,2590,7664,6908,7685,6872,7977,6522,7197,5665,4550,4214,3106,2813,5678,2874,,,,,,,48555,40566,929,273,846,26,21,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,20,45,61,119,159,255,798,622,1053,1057,,,32964,784,0,,,,
232,14/10/2020,14/10/2020 00:00,91193,34661,7348,44788,1724,2067,305,300,,2072,54493,2117,957,135,,,50544,,,,1839,2058,2913,2695,7863,7093,7860,7013,8165,6680,7365,5792,4649,4309,3165,2872,5752,2927,,,,,,,49660,41533,932,273,850,26,21,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,13,20,45,61,120,159,256,801,624,1056,1061,,,34583,822,0,,,,
233,15/10/2020,15/10/2020 00:00,93294,35807,7511,45521,1764,2080,306,305,,2101,55081,2128,993,139,,,51601,,,,1882,2098,3013,2785,8088,7317,8030,7185,8362,6849,7509,5930,4740,4389,3220,2918,5831,2968,,,,,,,50762,42532,934,275,857,26,21,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,10,14,21,45,61,120,159,257,806,627,1062,1066,,,36085,854,0,,,,
234,16/10/2020,16/10/2020 00:00,95902,37157,7834,46246,1914,2124,310,317,,2608,56066,2149,1015,144,,,51784,,,,1929,2145,3123,2873,8341,7537,8259,7374,8603,7033,7712,6090,4864,4504,3301,2988,6042,3020,,,,,,,52253,43649,944,277,866,26,21,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,21,45,61,123,160,260,810,636,1068,1081,,,37687,871,0,,,,
235,17/10/2020,17/10/2020 00:00,98055,38281,7983,47027,1956,2171,317,320,,2153,57919,2162,1012,148,,,52543,,,,1964,2189,3212,2968,8560,7729,8456,7539,8815,7177,7879,6224,4982,4604,3361,3038,6124,3068,,,,,,,53433,44622,950,277,871,27,22,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,45,61,124,162,262,814,639,1075,1087,,,37974,864,0,,,,
236,18/10/2020,18/10/2020 00:00,99911,39449,8214,47412,1991,2199,318,328,,1856,59000,2181,1086,155,,,54851,,,,2003,2227,3302,3066,8727,7878,8599,7679,8996,7341,8038,6335,5091,4680,3421,3098,6170,3094,,,,,,,54427,45484,959,277,881,27,22,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,45,63,127,163,267,817,644,1081,1100,,,38730,931,0,,,,
237,19/10/2020,19/10/2020 00:00,101860,40436,8347,48161,2026,2231,325,334,,1949,59966,2198,1174,165,,,55425,,,,2045,2274,3392,3160,8906,8059,8760,7816,9193,7487,8201,6477,5200,4767,3470,3151,6218,3127,,,,,,,55460,46400,971,279,884,27,22,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,45,63,129,165,268,822,651,1088,1110,,,39696,1009,0,,,,
238,20/10/2020,20/10/2020 00:00,103736,41542,8546,48596,2113,2266,328,345,,1876,61898,2213,1237,176,,,56126,,,,2079,2308,3473,3243,9079,8224,8941,7940,9368,7631,8344,6602,5291,4849,3528,3211,6304,3163,,,,,,,56483,47253,976,281,890,29,22,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,45,63,130,165,272,827,656,1093,1120,,,39625,1061,0,,,,
239,21/10/2020,21/10/2020 00:00,106271,42921,8743,49459,2163,2307,329,349,,2535,63238,2229,1272,187,,,55882,,,,2129,2363,3568,3367,9325,8422,9171,8119,9632,7828,8568,6751,5432,4956,3613,3274,6392,3201,,,,,,,57907,48364,980,283,898,30,23,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,45,63,131,168,273,835,659,1104,1125,,,40804,1085,0,,,,
240,22/10/2020,22/10/2020 00:00,109541,44875,9024,50395,2219,2335,332,361,,3270,64531,2245,1365,200,,,55809,,,,2193,2442,3710,3524,9619,8704,9439,8337,9964,8052,8862,6944,5572,5098,3730,3365,6550,3276,,,,,,,59716,49825,987,285,904,31,23,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,45,63,135,168,276,838,665,1107,1138,,,42765,1165,0,,,,
241,23/10/2020,23/10/2020 00:00,112440,46391,9388,51313,2272,2373,334,369,,2899,65880,2276,1418,198,,,57455,,,,2233,2502,3842,3634,9910,8996,9677,8530,10246,8240,9094,7113,5728,5235,3814,3441,6691,3348,,,,,,,61315,51125,1001,290,913,33,24,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,45,64,137,171,277,849,678,1122,1154,,,44284,1220,0,,,,
242,24/10/2020,24/10/2020 00:00,116109,48603,9661,52340,2368,2427,338,372,,3669,67842,2297,1455,221,,,57024,,,,2292,2574,4020,3837,10242,9309,9973,8793,10600,8526,9368,7351,5890,5397,3911,3544,6868,3434,,,,,,,63252,52857,1012,291,919,35,35,15,0,,,,,,,,,,1,0,0,0,1,1,3,2,11,14,22,48,65,140,171,278,855,685,1129,1168,,,45970,1234,0,,,,
243,25/10/2020,25/10/2020 00:00,118686,50299,9951,52832,2412,2469,340,383,,2577,68877,2316,1574,230,,,58749,,,,2337,2633,4136,3948,10487,9556,10190,8980,10842,8721,9586,7519,6011,5512,3985,3605,6968,3484,,,,,,,64632,54054,1022,291,927,36,25,15,0,,,,,,,,,,1,0,0,0,1,2,3,2,11,14,22,48,65,140,171,280,861,695,1135,1181,,,47493,1344,0,,,,
244,26/10/2020,26/10/2020 00:00,121133,51932,10118,53412,2436,2496,345,394,,2447,69956,2343,1672,240,,,59631,,,,2375,2697,4245,4068,10710,9749,10420,9158,11078,8915,9818,7681,6121,5620,4060,3671,7034,3526,,,,,,,65952,55181,1030,296,940,37,25,15,0,,,,,,,,,,1,0,0,0,1,2,3,2,11,14,23,48,65,142,174,286,868,703,1146,1197,,,48834,1432,0,,,,
